post_time,volume,amount,open,high,low,close,change,transaction
2023-10-04,"141,277","6,589,785",47.45,47.45,45.75,47.10,-0.40,200
2023-10-05,"154,489","7,450,655",48.15,49.00,47.70,48.00,+0.90,317
2023-10-06,"34,946","1,668,995",47.60,48.10,47.55,47.70,-0.30,118
2023-10-11,"115,952","5,396,516",47.70,47.75,46.10,46.30,-1.40,128
2023-10-12,"62,387","2,893,920",45.60,47.20,45.60,46.35,+0.05,82
2023-10-13,"429,089","20,113,083",46.90,48.70,45.30,45.30,-1.05,432
2023-10-16,"153,787","6,900,670",45.70,45.70,44.30,45.15,-0.15,171
2023-10-17,"117,297","5,193,270",44.60,44.90,43.65,43.65,-1.50,191
2023-10-18,"107,593","4,644,342",43.60,43.80,42.85,42.85,-0.80,189
2023-10-19,"105,626","4,498,298",42.15,43.05,42.15,42.50,-0.35,202
2023-10-20,"117,643","4,893,972",42.20,42.20,41.30,41.30,-1.20,131
2023-10-23,"226,074","9,580,124",40.90,43.70,40.80,42.00,+0.70,216
2023-10-24,"161,105","6,884,155",42.25,43.95,41.50,43.35,+1.35,176
2023-10-25,"68,626","3,003,144",43.40,44.00,43.40,43.85,+0.50,79
2023-10-26,"102,048","4,417,950",43.00,44.05,43.00,43.10,-0.75,106
2023-10-27,"56,077","2,447,672",43.75,44.10,43.10,43.10, 0.00,77
2023-10-30,"37,136","1,599,946",43.70,43.70,42.50,43.30,+0.20,102
2023-10-31,"88,827","3,835,598",43.30,43.60,42.70,43.00,-0.30,144
2023-11-01,"700,739","32,137,561",43.70,46.90,43.70,46.20,+3.20,652
2023-11-02,"392,959","17,830,937",45.85,46.20,44.40,45.25,-0.95,562
2023-11-03,"134,895","6,086,483",45.40,46.00,44.80,44.80,-0.45,195
2023-11-06,"1,015,716","49,173,629",46.20,49.25,45.80,49.25,+4.45,752
2023-11-07,"3,309,066","173,686,744",49.50,54.10,49.30,54.10,+4.85,"2,470"
2023-11-08,"6,244,514","347,762,621",56.00,59.30,53.90,55.80,+1.70,"4,563"
2023-11-09,"2,121,355","118,549,363",55.70,57.50,54.50,56.40,+0.60,"1,690"
2023-11-10,"4,219,448","241,446,945",54.00,59.50,54.00,56.00,-0.40,"3,286"
2023-11-13,"1,417,910","78,721,132",56.10,57.30,54.50,55.30,-0.70,"1,130"
2023-11-14,"579,966","31,699,558",54.80,55.40,54.30,54.30,-1.00,606
2023-11-15,"455,772","24,682,927",54.70,55.10,53.50,53.50,-0.80,505
2023-11-16,"2,795,188","162,065,118",55.60,58.80,55.20,58.80,+5.30,"1,853"
2023-11-17,"2,749,052","174,677,324",60.60,64.60,60.50,64.60,+5.80,"1,525"
2023-11-20,"5,833,986","369,059,086",60.20,66.50,59.80,66.00,+1.40,"4,065"
2023-11-21,"2,336,319","152,166,582",66.70,66.70,63.90,63.90,-2.10,"1,929"
2023-11-22,"4,282,074","286,984,020",66.00,70.00,64.30,66.70,+2.80,"3,120"
2023-11-23,"4,459,782","307,834,604",67.00,71.50,65.80,70.60,+3.90,"3,391"
2023-11-24,"3,033,826","201,747,561",66.80,68.60,63.70,64.50,-6.10,"2,339"
2023-11-27,"1,969,859","121,796,158",63.60,64.40,60.00,61.20,-3.30,"1,682"
2023-11-28,"1,062,634","65,388,107",61.20,62.50,60.90,61.70,+0.50,993
2023-11-29,"530,434","32,486,688",61.00,62.30,60.70,60.80,-0.90,521
2023-11-30,"658,501","40,797,483",61.50,63.10,60.90,60.90,+0.10,670
2023-12-01,"389,714","23,817,633",60.90,61.90,60.60,60.90, 0.00,337
2023-12-04,"468,899","28,678,405",60.80,62.20,60.40,61.00,+0.10,394
2023-12-05,"717,310","41,979,269",61.60,61.60,57.10,57.10,-3.90,686
2023-12-06,"809,340","48,055,854",57.60,60.60,57.50,59.50,+2.40,799
2023-12-07,"524,391","31,584,292",60.60,61.20,59.00,60.50,+1.00,504
2023-12-08,"280,122","16,791,967",61.00,61.00,59.30,59.50,-1.00,544
2023-12-11,"228,455","13,617,990",59.70,60.40,59.00,59.00,-0.50,214
2023-12-12,"257,210","14,905,807",60.30,60.30,57.40,57.90,-1.10,365
2023-12-13,"208,143","12,167,131",58.50,59.20,58.00,58.50,+0.60,304
2023-12-14,"231,053","13,548,973",59.00,59.30,58.00,58.00,-0.50,355
2023-12-15,"174,104","10,089,742",58.20,58.90,57.20,57.50,-0.50,209
2023-12-18,"189,512","10,837,385",57.20,58.00,56.70,57.10,-0.40,215
2023-12-19,"208,535","11,835,762",56.60,57.40,56.10,57.20,+0.10,183
2023-12-20,"915,817","54,458,675",57.20,60.70,57.20,59.20,+2.00,825
2023-12-21,"218,670","12,726,440",58.50,59.00,56.50,58.00,-1.20,310
2023-12-22,"160,621","9,283,133",58.40,58.50,57.30,58.50,+0.50,146
2023-12-25,"159,122","9,329,192",59.10,59.40,58.00,58.00,-0.50,158
2023-12-26,"113,198","6,581,683",58.10,59.10,57.60,58.50,+0.50,112
2023-12-27,"184,608","10,827,795",58.70,59.00,58.30,58.50, 0.00,176
2023-12-28,"177,314","10,302,094",59.40,59.40,57.80,57.80,-0.70,279
2023-12-29,"3,127,398","194,946,730",58.30,63.50,58.30,63.00,+5.20,"2,357"
2024-01-02,"3,087,865","195,565,736",63.40,65.50,61.60,64.00,+1.00,"2,405"
2024-01-03,"1,862,574","120,183,687",62.50,67.00,62.50,62.70,-1.30,"1,486"
2024-01-04,"658,119","40,306,976",62.70,62.90,60.50,60.80,-1.90,646
2024-01-05,"749,379","46,586,428",61.20,63.50,61.00,61.30,+0.50,680
2024-01-08,"1,361,827","86,559,903",63.00,64.60,62.30,63.10,+1.80,"1,152"
2024-01-09,"630,077","38,562,755",62.30,62.60,60.50,60.60,-2.50,555
2024-01-10,"298,915","17,971,806",60.40,61.00,59.10,59.70,-0.90,243
2024-01-11,"524,505","32,115,772",60.70,62.70,60.60,60.70,+1.00,451
2024-01-12,"395,443","23,768,679",58.60,61.20,58.60,60.90,+0.20,363
2024-01-15,"557,479","32,545,073",58.30,59.10,58.00,58.10,-2.80,511
2024-01-16,"256,797","14,700,363",58.10,58.60,56.70,57.10,-1.00,279
2024-01-17,"214,526","12,169,326",57.10,57.90,56.00,56.00,-1.10,276
2024-01-18,"169,951","9,496,263",55.80,56.80,55.20,55.20,-0.80,175
2024-01-19,"726,823","38,817,273",51.00,56.40,51.00,56.40,+1.20,475
2024-01-22,"197,538","11,036,729",56.40,56.60,55.00,55.00,-1.40,292
2024-01-23,"121,787","6,686,429",56.20,56.20,54.50,54.60,-0.40,135
2024-01-24,"199,385","11,113,180",54.30,56.30,54.30,55.50,+0.90,197
2024-01-25,"132,834","7,298,964",55.80,55.90,54.50,54.50,-1.00,165
2024-01-26,"1,076,597","61,194,615",55.10,59.00,55.10,55.40,+0.90,853
2024-01-29,"547,305","31,063,489",56.20,58.00,56.10,56.40,+1.00,442
2024-01-30,"201,110","11,303,701",57.00,57.00,55.70,55.80,-0.60,464
2024-01-31,"226,558","12,736,657",56.20,57.80,55.80,55.80, 0.00,201
2024-02-01,"101,737","5,717,650",56.80,56.80,55.00,56.40,+0.60,110
2024-02-02,"257,718","14,520,577",57.20,57.60,55.60,55.60,-0.80,188
2024-02-05,"107,714","5,958,012",55.60,55.70,55.00,55.60, 0.00,120
2024-02-15,"376,957","19,624,171",52.30,53.10,51.30,51.70,-3.90,349
2024-02-16,"284,636","14,537,425",51.70,52.10,50.50,51.00,-0.70,312
2024-02-19,"147,912","7,618,757",50.90,52.00,50.90,51.60,+0.60,138
2024-02-20,"243,484","12,199,074",51.20,51.20,49.65,49.80,-1.80,267
2024-02-21,"160,063","7,978,977",49.25,50.30,49.25,49.80, 0.00,144
2024-02-22,"147,928","7,331,384",50.00,50.00,49.35,49.50,-0.30,153
2024-02-23,"138,428","6,777,632",49.50,49.50,48.70,48.80,-0.70,205
2024-02-26,"104,966","5,169,557",48.80,49.60,48.75,49.50,+0.70,102
2024-02-27,"117,270","5,733,428",49.45,49.45,48.55,48.65,-0.85,161
2024-02-29,"68,215","3,334,440",49.00,49.15,48.55,49.10,+0.45,92
2024-03-01,"71,329","3,515,896",49.10,49.55,48.90,49.10, 0.00,109
2024-03-04,"72,688","3,578,950",49.10,49.50,49.00,49.30,+0.20,99
2024-03-05,"87,844","4,364,879",49.50,49.90,49.45,49.90,+0.60,289
2024-03-06,"112,294","5,641,355",49.70,50.80,49.70,50.00,+0.10,120
2024-03-07,"90,629","4,499,203",50.90,50.90,49.15,49.80,-0.20,113
2024-03-08,"154,093","7,620,546",49.70,50.40,49.20,49.20,-0.60,122
2024-03-11,"535,448","27,566,690",50.00,52.50,50.00,51.70,+2.50,450
2024-03-12,"377,595","19,966,695",52.40,53.80,52.20,52.50,+0.80,299
2024-03-13,"139,154","7,155,422",52.50,53.00,50.80,51.10,-1.40,146
2024-03-14,"155,785","7,964,098",52.00,52.00,50.40,51.70,+0.60,127
2024-03-15,"387,044","20,302,420",52.10,53.50,51.00,51.10,-0.60,546
