SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
8137790,亮色飽滿染後髮色❤️修護型洗髮精250g（兩瓶）,適合染髮過後兩週開始使用,257400.0,330
4585708,草本柔順滋養潤髮護髮精華320g-柔順飄逸 (一分鐘修護-沖洗式)（買一送一）,摩洛哥油：深度修護,257040.0,952
6950822,96.5%以上大自然成份的 招福平安淨化環境噴霧 300g（一瓶）（任選三件以上85折）,可用於衣物/家中/辦公室/廁所等,255982.0,859
8539711,【新春搶購】超導水藍銅修復面膜【德國藍銅．冰沁修復】,｜超導水藍銅修復面膜｜,253736.0,197
8303034,超導水藍銅修復面膜+藍銅玻尿酸保濕修復精華+冰原花后賦活修護乳霜【謝京穎推薦】,｜超導水藍銅修復面膜｜,252450.0,50
8504480,【冰原花后系列】冰原花后賦活修護乳霜-10g隨身瓶,｜冰原花后賦活修護乳霜 隨身瓶｜,251640.0,360
6379458,透白珍珠光 奈米級物理防曬乳SPF50+，控油柔膚配方30ml 多件任選更優惠,無添加香料、色素、酒精,246720.0,1028
7815016,媚比琳煙燻柔霧奶霜唇膏 (多款任選),「開架唇膏霸主」Maybelline New York全新「Color Sensational煙燻柔霧奶霜唇膏」絕美新登場！全新系列外殼採細長管身設計，優雅時尚；磨砂材質燙印銀色 logo細緻又高級；本次一共推出了包含#799煙燻焦糖等6款獨家煙燻色選，全部都是大勢紅棕色調霸氣又時尚！更添加荷荷巴油精萃與維他命E，有效滋潤及修護你的乾燥唇，一抹輕霧，卻柔滑絕不拔乾！是乾唇人也可以駕馭的霧面唇膏！,242555.0,695
7823999,【毛孔專家｜買2送1淨膚組】琥珀酸喚膚粉刺泥膜 + 76酵母胺基酸淨膚潔顏露【贈】100%純棉植物纖維潔膚巾(珍珠紋加厚版100pcs),｜買二送一淨膚組｜,241879.0,121
7851958,【毛孔吸塵器．11點熱吵店推薦】黃金修護白泡泡面膜-50ML隨身瓶,｜黃金修護白泡泡面膜｜,241800.0,310
4586151,寶貝嬰兒舒緩二合一(泡泡浴露)400g（買一送一）,不含化學人工香精、皂鹼不含石化界面活性劑、不流淚、不刺激,239400.0,684
8146988,【買3送2｜喚顏養膚組】黃金修護白泡泡面膜-50ml隨身瓶+黃金胜肽賦活精華-10ml隨身瓶+76酵母胺基酸淨膚潔顏露-30g隨身瓶【送】冰原花后修復安瓶面膜+手提收納包,※手提收納包內不含保養品,235053.0,147
4605711,慈禧御用玉容散深層嫩白水凝乳100ml（任選三件85折）,蘊含了來自大自然的無患子及慈禧養顏美容成份玉容散，搭配多種植物萃取成分， 具深層保濕、緊緻白皙、平衡油脂。使肌膚更加白皙有光滑，細緻有彈性，擁有水嫩亮白和細緻的好膚感。,233801.0,809
7627530,蜂王青春 臉部緊緻保濕乳液60ml（一瓶）全膚質適用 維持粉嫩,皮膚亮白、修復肌膚、強化肌膚、留住水份、撫平皺紋,231420.0,609
8245794,淨嫩白皙組｜黑鑽松露金緻抗老面膜+76酵母胺基酸淨膚潔顏露,｜黑鑽松露金緻抗老面膜｜,229885.0,115
8271804,一朵朵~很襯膚色的黑髮專用染髮霜60ml（奶茶楓糖）多盒任選更便宜,選用PTD做為過色劑，無臭味、不刺激、不破壞髮質，輕鬆上色。,229320.0,546
5477793,玫瑰甘露化妝水150ml（四瓶省410元）,經測試，能促進肌膚新陳代謝,226710.0,229
8146926,【買3送2｜控油輕旅組】美白調理平衡露30g隨身瓶＋76酵母胺基酸淨膚潔顏露-30g隨身瓶+琥珀酸喚膚粉刺泥膜-30g隨身瓶【送】冰原花后修復安瓶面膜+手提收納包,※手提收納包內不含保養品,226069.0,181
7576247,【乾性肌神器】蜂王乳極潤修護精華露+冰原花后賦活修護乳霜【保濕潤膚推薦】,｜乾性肌神器｜,223930.0,70
8245724,黑鑽松露金緻抗老面膜【修復抗老巔峰】,｜黑鑽松露金緻抗老面膜｜,222720.0,174
7275416,中衛醫療口罩50入-多款任選,表層具潑水效果,220020.0,749
6988715,自然綻放 野芒果潤唇膏3.4g（兩支優惠）,,219240.0,522
7152537,招財納福檀木薰香沐浴露500g（兩瓶優惠）,來自大自然的無患子皂素，搭配胺基酸潔膚成分。添加多種草本萃取與多種精油，溫柔泡泡包覆著每一寸敏感肌膚，讓你洗後感受多款暖心草本的魔力。,218820.0,521
7916701,SPA級潔顏養肌｜光感淨透洗臉機（聲波導入版）+ 76酵母胺基酸淨膚潔顏露【贈】冰原花后修復安瓶面膜 (1片=5安瓶)【蔡頤榛推薦】,｜SPA級潔顏養肌｜,218309.0,91
7164951,96.5%以上大自然成份的 招福平安淨化環境噴霧 1000g一瓶+連續噴霧瓶一個（任選三件以上85折）,可用於衣物/家中/辦公室/廁所等,217389.0,311
6716384,無患子萃取高濃度三倍洗淨無香洗衣精1000g（補充瓶*4）新瓶口,塑膠使用減少70%,215180.0,406
7807243,【美膚神仙水】美白調理平衡露 兩入,｜美白調理平衡露｜,213303.0,97
7904587,【控油養膚組】99控油保濕平衡乳+琥珀酸喚膚粉刺泥膜【娘娘．阿本推薦】,｜控油養膚組｜,211894.0,106
8154371,優惠限定❤️ 深層頭皮SPA碳酸清潔幕斯200g (五瓶組) -日本沙龍級 (全/特殊護理使用) 花香,獨特的碳酸分子，徹底吸附髒污,211797.0,303
8504463,超導水藍銅修復面膜-30G隨身瓶【德國藍銅．冰沁修復】,｜超導水藍銅修復面膜｜,209718.0,382
7904354,好神奇吸色片（防止衣物染色）100片/盒（兩盒優惠）,具有優良的吸色力 會優先把水裡的顏色吸走,208380.0,302
6882903,多層次香氣的洗衣香氛（青檸羅勒/浪漫牡丹/雨吻之葉/茉香橙花）單瓶（另有任選兩瓶優惠價）,,207760.0,742
7092800,舒緩精華沐浴露750g（敏感肌適用）一瓶（沐浴任選兩瓶325元）,Cristalhyal 綠色玻尿酸:,206040.0,808
6716413,無患子萃取高濃度三倍洗淨無香洗衣精1000g（一個回流瓶+三個補充瓶，共四瓶）新瓶口,塑膠使用減少70%,198720.0,368
6042623,千金方洗髮露550g-古法抗屑控油（單瓶優惠-方瓶任選兩瓶299元）,無患子植物性皂素豐富細緻泡沫，溫和不易刺激肌,198403.0,997
7791223,淨油超能亮｜黃金修護白泡泡面膜＋45淨化毛孔調理安瓶【毛控吸塵器．11點熱吵店推薦．高效粉刺黑武士】,｜淨油超能亮｜,197714.0,86
6770890,招福平安沐浴露500g（一瓶）（任選三件以上85折）,來自大自然的無患子皂素，搭配胺基酸潔膚成分。添加10種草本萃取與多種精油，溫柔泡泡包覆著每一寸敏感肌膚，讓你洗後感受多款安心草本的魔力。,193180.0,743
8556870,96.5%以上大自然成份的 招福平安淨化環境噴霧 1000g三瓶超值組,可用於衣物/家中/辦公室/廁所等,189840.0,113
6133353,玫瑰純露洗髮精 480g+西西里檸檬純露洗髮精 480g,●弱酸性配方,189630.0,387
7928213,【毛孔專家】琥珀酸喚膚粉刺泥膜-30G隨身瓶,｜琥珀酸喚膚粉刺泥膜｜,189029.0,421
7152556,招財納福檀木薰香沐浴露500g（五瓶超值）,來自大自然的無患子皂素，搭配胺基酸潔膚成分。添加多種草本萃取與多種精油，溫柔泡泡包覆著每一寸敏感肌膚，讓你洗後感受多款暖心草本的魔力。,187680.0,204
6691599,最高詢問度 檸檬馬鞭草洗面乳180g（兩瓶優惠）弱酸性配方,不含MI/MCI、Paraben類防腐劑,187174.0,626
5285329,LOTUS 保濕香蓮卸妝液-500g（5瓶組）*,敏弱性/一般肌膚適用無酒精，溫和不易刺激完美4效合1，具卸妝，潔膚，舒緩，保濕,184070.0,233
7822826,【毛孔專家】琥珀酸喚膚粉刺泥膜,｜琥珀酸喚膚粉刺泥膜｜,183773.0,118
8231261,專為敏感肌及寶寶設計的萬用舒緩霜180g（一罐）脫屑乾癢、紅屁屁用的寶寶霜,乾燥脫皮泛紅肌膚,183570.0,633
6042656,養氣人蔘洗髮露550g-補氣固頭皮（單瓶優惠-方瓶任選兩瓶299元）,無患子植物性皂素，含有豐富的細緻泡沫，溫和不易刺激肌膚。,183080.0,920
8532402,巴黎萊雅紫熨斗PRO特惠組,全新普拉斯鏈PRO，2倍濃度!,179820.0,180
6720711,魚子萊姆頭皮淨化微泡精華120g（兩瓶優惠）,95%源自大自然，無添加SLS、SLES、皂鹼、矽靈,177480.0,493
7050168,Dr.FreeVenus藝群-植物神經醯胺精華露-30ML,保濕、修護，角質層是肌膚最重要的保護力,176860.0,1042
7368866,雙精萃蜂王奇蹟日霜SPF35★★(兩入)【11點熱吵店推薦】,｜雙精萃蜂王奇蹟日霜SPF35★★｜,171522.0,78
7050142,Simply夜間代謝酵素錠30錠,促進代謝 調整體質,169290.0,171
7164982,96.5%以上大自然成份的 招福平安淨化環境噴霧 1000g兩瓶+連續噴霧瓶一個,可用於衣物/家中/辦公室/廁所等,167240.0,148
4702995,九蒸九曝 秘傳以黑補黑 髮翳淨髮露550g-（買一送一）方瓶,黑人蔘.黑色桔梗根.黑沙參.黑刺五加.黑大豆.黑米-具抗氧化能力，可活絡毛髮、強健髮根，減少秀髮受損與乾燥斷裂、強化髮質，防止髮絲分岔斷裂，使頭髮回復年輕光彩與青春的頭髮。,164151.0,549
7554366,【全新冰原花后系列】冰原花后賦活修護乳霜(兩入),｜冰原花后賦活修護乳霜｜,162640.0,38
8245871,油水調理組｜黑鑽松露金緻抗老面膜+琥珀酸喚膚粉刺泥膜,｜黑鑽松露金緻抗老面膜｜,161919.0,81
7046076,媚比琳FIT ME 反孔特霧粉底液 30ML-(多款任選),FIT ME粉底液 全新控油科技 質地大升級！,161143.0,457
8120376,五倍消臭力！薄荷除臭噴霧300g（兩瓶優惠）,,159933.0,267
8221649,*耕心田X茶金 東方美人茶賦黑洗髮精華露400g【加購品】,,157950.0,1053
8221628,*耕心田X茶金 東方美人茶白皙沐浴精華露500g【加購品】,,157500.0,1050
8302622,超導水藍銅修復面膜  2入【德國藍銅．冰沁修復】,｜超導水藍銅修復面膜｜,157437.0,63
7624213,【生物纖維面膜】冰原花后修復安瓶面膜 4入（1片＝5安瓶）,｜冰原花后修復安瓶面膜｜,156843.0,157
5477407,玫瑰甘露化妝水150ml（單瓶特價）（任選三件85折）,經測試，能促進肌膚新陳代謝,155750.0,445
